Transaction Number,Date,Description,Memo,Amount Debit,Amount Credit,Balance,Check Number,Fees
"20230322000000[-6:CST]*-25.00*0**XX3498 POS PURCHASE AT SQ *ACPS Ames IA 13387843 434796",03/22/2023,"XX3498 POS PURCHASE AT SQ *ACPS Ames IA 13387843 434796","",-25.00,,"54118.89",,0.00
"20230321000000[-6:CST]*-30.00*0**VENMO PAYMENT 1025936398580",03/21/2023,"VENMO PAYMENT 1025936398580","",-30.00,,"54143.89",,0.00
"20230321000000[-6:CST]*-78.08*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 039095",03/21/2023,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 039095","",-78.08,,"54173.89",,0.00
"20230321000000[-6:CST]*-22.00*0**XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 265715",03/21/2023,"XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 265715","",-22.00,,"54251.97",,0.00
"20230321000000[-6:CST]*-13.52*0**XX3498 POS WITHDRAWAL. KUMGO 1215 AMES AMES IA 001 895941",03/21/2023,"XX3498 POS WITHDRAWAL. KUM&GO 1215 AMES AMES IA 001 895941","",-13.52,,"54273.97",,0.00
"20230320000000[-6:CST]*-9.00*0**XX3498 POS PURCHASE AT SUPER SHINE AMES AMES IA 05932564 316504",03/20/2023,"XX3498 POS PURCHASE AT SUPER SHINE AMES AMES IA 05932564 316504","",-9.00,,"54287.49",,0.00
"20230317000000[-6:CST]*-24.60*0**CLUB FEES PLANET FIT 515-450-5351",03/17/2023,"CLUB FEES PLANET FIT 515-450-5351","",-24.60,,"54296.49",,0.00
"20230317000000[-6:CST]*-49.86*0**XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490049 307677452427",03/17/2023,"XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490049 307677452427","",-49.86,,"54321.09",,0.00
"20230317000000[-6:CST]*-13.38*0**XX3498 POS PURCHASE AT SQ *LOCKWOOD AMES IA 25787678 797692",03/17/2023,"XX3498 POS PURCHASE AT SQ *LOCKWOOD AMES IA 25787678 797692","",-13.38,,"54370.95",,0.00
"20230317000000[-6:CST]*3737.46*501**DONNELLEY FINANC DIRECT DEP 445066695265 L5Z",03/17/2023,"DONNELLEY FINANC DIRECT DEP 445066695265 L5Z","",,3737.46,"54384.33",,0.00
"20230315000000[-6:CST]*-233.40*0**Alliant - IPL PAYMENT 3836938783",03/15/2023,"Alliant - IPL PAYMENT 3836938783","",-233.40,,"50646.87",,0.00
"20230315000000[-6:CST]*-100.00*0**VENMO PAYMENT 1025820875491",03/15/2023,"VENMO PAYMENT 1025820875491","",-100.00,,"50880.27",,0.00
"20230315000000[-6:CST]*-34.75*0**XX3498 POS PURCHASE AT SQ *WOK N ROLL Am es IA 59305991 227508",03/15/2023,"XX3498 POS PURCHASE AT SQ *WOK N ROLL Am es IA 59305991 227508","",-34.75,,"50980.27",,0.00
"20230315000000[-6:CST]*-25.00*0**XX3498 POS PURCHASE AT SQ *ACPS Ames IA 12769028 865820",03/15/2023,"XX3498 POS PURCHASE AT SQ *ACPS Ames IA 12769028 865820","",-25.00,,"51015.02",,0.00
"20230315000000[-6:CST]*9255.81*501**DONNELLEY FINANC DIRECT DEP 519087167086 L5Z",03/15/2023,"DONNELLEY FINANC DIRECT DEP 519087167086 L5Z","",,9255.81,"51040.02",,0.00
"20230314000000[-6:CST]*2.40*501**Interest paid",03/14/2023,"Interest paid","",,2.40,"41784.21",,0.00
"20230314000000[-6:CST]*-275.30*0**VERIZON WIRELESS PAYMENTS 05885909720000 1",03/14/2023,"VERIZON WIRELESS PAYMENTS 05885909720000 1","",-275.30,,"41781.81",,0.00
"20230314000000[-6:CST]*-133.00*0**XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 193902",03/14/2023,"XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 193902","",-133.00,,"42057.11",,0.00
"20230314000000[-6:CST]*-17.12*0**XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 67805585 967972",03/14/2023,"XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 67805585 967972","",-17.12,,"42190.11",,0.00
"20230314000000[-6:CST]*-8.44*0**XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545307 281343",03/14/2023,"XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545307 281343","",-8.44,,"42207.23",,0.00
"20230313000000[-6:CST]*-100.00*0**XX3498 ATM WITHDRAWAL. 2406 GRAND AVE AM ES IA IA000624 004772",03/13/2023,"XX3498 ATM WITHDRAWAL. 2406 GRAND AVE AM ES IA IA000624 004772","",-100.00,,"42215.67",,0.00
"20230313000000[-6:CST]*-400.00*0**00878415 TRANSFER TO 780750 ON 3/12/23 A T 16:07",03/13/2023,"00878415 TRANSFER TO 780750 ON 3/12/23 A T 16:07","",-400.00,,"42315.67",,0.00
"20230310000000[-6:CST]*-100.00*0**XX3498 ATM WITHDRAWAL. 119 MAIN ST AMES IA RT35199 009646",03/10/2023,"XX3498 ATM WITHDRAWAL. 119 MAIN ST AMES IA RT35199 009646","",-100.00,,"42715.67",,0.00
"20230310000000[-6:CST]*-46.00*0**XX3498 POS PURCHASE AT SQ *THE ANGRY IR Ames IA 12947490 717885",03/10/2023,"XX3498 POS PURCHASE AT SQ *THE ANGRY IR Ames IA 12947490 717885","",-46.00,,"42815.67",,0.00
"20230310000000[-6:CST]*-3.49*0**ATM WITHDRAWAL FEE XX3498 ATM WITHDRAWAL . 119 MAIN ST AMES IA RT35199 009646",03/10/2023,"ATM WITHDRAWAL FEE XX3498 ATM WITHDRAWAL . 119 MAIN ST AMES IA RT35199 009646","",-3.49,,"42861.67",,0.00
"20230310000000[-6:CST]*307.80*501**DONNELLEY FINANC DIRECT-PAY 34735204",03/10/2023,"DONNELLEY FINANC DIRECT-PAY 34735204","",,307.80,"42865.16",,0.00
"20230310000000[-6:CST]*30.00*501**DONNELLEY FINANC DIRECT-PAY 34735221",03/10/2023,"DONNELLEY FINANC DIRECT-PAY 34735221","",,30.00,"42557.36",,0.00
"20230309000000[-6:CST]*-41.20*0**XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 853487",03/09/2023,"XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 853487","",-41.20,,"42527.36",,0.00
"20230308000000[-6:CST]*-80.18*0**XX3498 POS WITHDRAWAL. WAL-MART #0749 AM ES IA 24074901 239153",03/08/2023,"XX3498 POS WITHDRAWAL. WAL-MART #0749 AM ES IA 24074901 239153","",-80.18,,"42568.56",,0.00
"20230307000000[-6:CST]*-80.76*0**XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 60640780 068266",03/07/2023,"XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 60640780 068266","",-80.76,,"42648.74",,0.00
"20230307000000[-6:CST]*-9.72*0**XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545316 074529",03/07/2023,"XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545316 074529","",-9.72,,"42729.50",,0.00
"20230306000000[-6:CST]*-4516.32*0**CHASE CREDIT CRD AUTOPAY 000000000175244",03/06/2023,"CHASE CREDIT CRD AUTOPAY 000000000175244","",-4516.32,,"42739.22",,0.00
"20230306000000[-6:CST]*-712.75*0**IOWA BANKERS MTG ACH PMT XXXXXX2430",03/06/2023,"IOWA BANKERS MTG ACH PMT XXXXXX2430","",-712.75,,"47255.54",,0.00
"20230306000000[-6:CST]*-200.00*0**XX3498 ATM WITHDRAWAL. 2406 GRAND AVE AM ES IA IA000624 004509",03/06/2023,"XX3498 ATM WITHDRAWAL. 2406 GRAND AVE AM ES IA IA000624 004509","",-200.00,,"47968.29",,0.00
"20230306000000[-6:CST]*-62.00*0**XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 903484",03/06/2023,"XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 903484","",-62.00,,"48168.29",,0.00
"20230306000000[-6:CST]*-25.00*0**XX3498 POS PURCHASE AT SQ *ACPS Ames IA 38978413 619996",03/06/2023,"XX3498 POS PURCHASE AT SQ *ACPS Ames IA 38978413 619996","",-25.00,,"48230.29",,0.00
"20230306000000[-6:CST]*-11.62*0**XX3498 POS PURCHASE AT KWIK STOP LIQUOR AMES IA 19443307 799757",03/06/2023,"XX3498 POS PURCHASE AT KWIK STOP LIQUOR AMES IA 19443307 799757","",-11.62,,"48255.29",,0.00
"20230303000000[-6:CST]*3737.46*501**DONNELLEY FINANC DIRECT DEP 714089570665 L5Z",03/03/2023,"DONNELLEY FINANC DIRECT DEP 714089570665 L5Z","",,3737.46,"48266.91",,0.00
"20230301000000[-6:CST]*-50.00*0**VENMO PAYMENT 1025549797284",03/01/2023,"VENMO PAYMENT 1025549797284","",-50.00,,"44529.45",,0.00
"20230301000000[-6:CST]*-41.73*0**CLUB FEES PLANET FIT 515-620-8880",03/01/2023,"CLUB FEES PLANET FIT 515-620-8880","",-41.73,,"44579.45",,0.00
"20230228000000[-6:CST]*-50.14*0**XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 520599",02/28/2023,"XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 520599","",-50.14,,"44621.18",,0.00
"20230227000000[-6:CST]*-200.00*0**XX3498 ATM WITHDRAWAL. 2406 GRAND AVE AM ES IA IA000624 004080",02/27/2023,"XX3498 ATM WITHDRAWAL. 2406 GRAND AVE AM ES IA IA000624 004080","",-200.00,,"44671.32",,0.00
"20230227000000[-6:CST]*-121.53*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 042656",02/27/2023,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 042656","",-121.53,,"44871.32",,0.00
"20230227000000[-6:CST]*-71.48*0**XX3498 POS PURCHASE AT SQ *MUCKY DUCK P Ames IA 47744865 239374",02/27/2023,"XX3498 POS PURCHASE AT SQ *MUCKY DUCK P Ames IA 47744865 239374","",-71.48,,"44992.85",,0.00
"20230227000000[-6:CST]*-42.10*0**XX3498 POS PURCHASE AT AUNT MAUDES AMES IA 10800295 032975",02/27/2023,"XX3498 POS PURCHASE AT AUNT MAUDES AMES IA 10800295 032975","",-42.10,,"45064.33",,0.00
"20230227000000[-6:CST]*-17.01*0**XX3498 POS PURCHASE AT SQ *flying Iowa City IA 55881745 805427",02/27/2023,"XX3498 POS PURCHASE AT SQ *OASIS FALAFE Iowa City IA 55881745 805427","",-17.01,,"45106.43",,0.00
"20230224000000[-6:CST]*-80.70*0**CITY OF AMES UT BILL 002629810006826",02/24/2023,"CITY OF AMES UT BILL 002629810006826","",-80.70,,"45123.44",,0.00
"20230223000000[-6:CST]*-588.14*0**FARMERS INS EFT PYMT mXXXXX5868",02/23/2023,"FARMERS INS EFT PYMT mXXXXX5868","",-588.14,,"45204.14",,0.00
"20230222000000[-6:CST]*-112.62*0**CITY OF AMES UT BILL 002819790003022",02/22/2023,"CITY OF AMES UT BILL 002819790003022","",-112.62,,"45792.28",,0.00
"20230222000000[-6:CST]*-25.00*0**XX3498 POS PURCHASE AT SQ *ACPS Ames IA 26563234 037258",02/22/2023,"XX3498 POS PURCHASE AT SQ *ACPS Ames IA 26563234 037258","",-25.00,,"45904.90",,0.00
"20230221000000[-6:CST]*-183.32*0**Alliant - IPL PAYMENT 0061467186",02/21/2023,"Alliant - IPL PAYMENT 0061467186","",-183.32,,"45929.90",,0.00
"20230221000000[-6:CST]*-50.00*0**VENMO PAYMENT 1025343256887",02/21/2023,"VENMO PAYMENT 1025343256887","",-50.00,,"46113.22",,0.00
"20230221000000[-6:CST]*-200.00*0**XX3498 ATM WITHDRAWAL. 3334 LINCOLN WAY AMES IA IA000622 007077",02/21/2023,"XX3498 ATM WITHDRAWAL. 3334 LINCOLN WAY AMES IA IA000622 007077","",-200.00,,"46163.22",,0.00
"20230221000000[-6:CST]*-118.29*0**XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 99698771 650686",02/21/2023,"XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 99698771 650686","",-118.29,,"46363.22",,0.00
"20230221000000[-6:CST]*-93.37*0**XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490048 304952000326",02/21/2023,"XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490048 304952000326","",-93.37,,"46481.51",,0.00
"20230221000000[-6:CST]*-80.54*0**XX3498 POS PURCHASE AT SQ *MUCKY DUCK P Ames IA 61513381 660829",02/21/2023,"XX3498 POS PURCHASE AT SQ *MUCKY DUCK P Ames IA 61513381 660829","",-80.54,,"46574.88",,0.00
"20230221000000[-6:CST]*-65.00*0**XX3498 POS PURCHASE AT GOODWILL AMES AME S IA 99701328 708347",02/21/2023,"XX3498 POS PURCHASE AT GOODWILL AMES AME S IA 99701328 708347","",-65.00,,"46655.42",,0.00
"20230221000000[-6:CST]*-64.00*0**XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 713043",02/21/2023,"XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 713043","",-64.00,,"46720.42",,0.00
"20230221000000[-6:CST]*-27.24*0**XX3498 POS WITHDRAWAL. HY VEE CLINIC 30 AMES IA 001 816987",02/21/2023,"XX3498 POS WITHDRAWAL. HY VEE CLINIC 30 AMES IA 001 816987","",-27.24,,"46784.42",,0.00
"20230221000000[-6:CST]*-8.56*0**XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 99698938 538525",02/21/2023,"XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 99698938 538525","",-8.56,,"46811.66",,0.00
"20230221000000[-6:CST]*-8.56*0**XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 99698854 146123",02/21/2023,"XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 99698854 146123","",-8.56,,"46820.22",,0.00
"20230221000000[-6:CST]*-8.44*0**XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545316 932042",02/21/2023,"XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545316 932042","",-8.44,,"46828.78",,0.00
"20230217000000[-6:CST]*-802.00*0**DHS CSRU IOW DHS IOWDHS012450003",02/17/2023,"DHS CSRU IOW DHS IOWDHS012450003","",-802.00,,"46837.22",,0.00
"20230217000000[-6:CST]*-24.60*0**CLUB FEES PLANET FIT 515-620-8880",02/17/2023,"CLUB FEES PLANET FIT 515-620-8880","",-24.60,,"47639.22",,0.00
"20230217000000[-6:CST]*-0.29*0**DHS CSRU conv fee IOWDHS012450004",02/17/2023,"DHS CSRU conv fee IOWDHS012450004","",-0.29,,"47663.82",,0.00
"20230217000000[-6:CST]*-69.22*0**XX3498 POS PURCHASE AT SQ *CORNBRED BAR Ames IA 72055442 222441",02/17/2023,"XX3498 POS PURCHASE AT SQ *CORNBRED BAR Ames IA 72055442 222441","",-69.22,,"47664.11",,0.00
"20230217000000[-6:CST]*3737.47*501**DONNELLEY FINANC DIRECT DEP 930528050385 L5Z",02/17/2023,"DONNELLEY FINANC DIRECT DEP 930528050385 L5Z","",,3737.47,"47733.33",,0.00
"20230216000000[-6:CST]*-120.00*0**XX3498 ATM WITHDRAWAL. 119 MAIN ST AMES IA RT35199 009593",02/16/2023,"XX3498 ATM WITHDRAWAL. 119 MAIN ST AMES IA RT35199 009593","",-120.00,,"43995.86",,0.00
"20230216000000[-6:CST]*-18.00*0**XX3498 POS PURCHASE AT SQ *OVERFLOW THR Ames IA 66660980 705395",02/16/2023,"XX3498 POS PURCHASE AT SQ *OVERFLOW THR Ames IA 66660980 705395","",-18.00,,"44115.86",,0.00
"20230216000000[-6:CST]*-200.00*0**00535584 TRANSFER TO 780750 ON 2/16/23 A T 17:51",02/16/2023,"00535584 TRANSFER TO 780750 ON 2/16/23 A T 17:51","",-200.00,,"44133.86",,0.00
"20230216000000[-6:CST]*-3.49*0**ATM WITHDRAWAL FEE XX3498 ATM WITHDRAWAL . 119 MAIN ST AMES IA RT35199 009593",02/16/2023,"ATM WITHDRAWAL FEE XX3498 ATM WITHDRAWAL . 119 MAIN ST AMES IA RT35199 009593","",-3.49,,"44333.86",,0.00
"20230215000000[-6:CST]*-51.40*0**XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490049 304652000423",02/15/2023,"XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490049 304652000423","",-51.40,,"44337.35",,0.00
"20230214000000[-6:CST]*3.09*501**Interest paid",02/14/2023,"Interest paid","",,3.09,"44388.75",,0.00
"20230214000000[-6:CST]*-275.30*0**VERIZON WIRELESS PAYMENTS 05885909720000 1",02/14/2023,"VERIZON WIRELESS PAYMENTS 05885909720000 1","",-275.30,,"44385.66",,0.00
"20230213000000[-6:CST]*-253.88*0**Alliant - IPL PAYMENT 3836938783",02/13/2023,"Alliant - IPL PAYMENT 3836938783","",-253.88,,"44660.96",,0.00
"20230213000000[-6:CST]*-115.04*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 062307",02/13/2023,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 062307","",-115.04,,"44914.84",,0.00
"20230213000000[-6:CST]*-28.00*0**XX3498 POS PURCHASE AT DES MOINES AIRPO DES MOINES IA 14638527 550236",02/13/2023,"XX3498 POS PURCHASE AT DES MOINES AIRPO DES MOINES IA 14638527 550236","",-28.00,,"45029.88",,0.00
"20230213000000[-6:CST]*-6.00*0**XX3498 POS PURCHASE AT SUPER SHINE AMES AMES IA 60602337 489519",02/13/2023,"XX3498 POS PURCHASE AT SUPER SHINE AMES AMES IA 60602337 489519","",-6.00,,"45057.88",,0.00
"20230213000000[-6:CST]*-100.00*0**TRANSFER TO FREE CHECKING ACCOUNT XXXXXX 0750",02/13/2023,"TRANSFER TO FREE CHECKING ACCOUNT XXXXXX 0750","",-100.00,,"45063.88",,0.00
"20230210000000[-6:CST]*-57.62*0**XX3498 POS PURCHASE AT CASEYS #2905 AMES IA 600001 031670",02/10/2023,"XX3498 POS PURCHASE AT CASEYS #2905 AMES IA 600001 031670","",-57.62,,"45163.88",,0.00
"20230208000000[-6:CST]*-91.58*0**XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 54320112 439933",02/08/2023,"XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 54320112 439933","",-91.58,,"45221.50",,0.00
"20230206000000[-6:CST]*-3740.06*0**CHASE CREDIT CRD AUTOPAY 000000000173180",02/06/2023,"CHASE CREDIT CRD AUTOPAY 000000000173180","",-3740.06,,"45313.08",,0.00
"20230206000000[-6:CST]*-712.75*0**IOWA BANKERS MTG ACH PMT XXXXXX2430",02/06/2023,"IOWA BANKERS MTG ACH PMT XXXXXX2430","",-712.75,,"49053.14",,0.00
"20230206000000[-6:CST]*-200.00*0**XX3498 ATM WITHDRAWAL. 3334 LINCOLN WAY AMES IA IA000623 001040",02/06/2023,"XX3498 ATM WITHDRAWAL. 3334 LINCOLN WAY AMES IA IA000623 001040","",-200.00,,"49765.89",,0.00
"20230206000000[-6:CST]*-52.31*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 050918",02/06/2023,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 050918","",-52.31,,"49965.89",,0.00
"20230206000000[-6:CST]*-49.00*0**XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 872969",02/06/2023,"XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 872969","",-49.00,,"50018.20",,0.00
"20230206000000[-6:CST]*-29.69*0**XX3498 POS PURCHASE AT SQ *BLUE FISH HA Ames IA 50827220 979099",02/06/2023,"XX3498 POS PURCHASE AT SQ *BLUE FISH HA Ames IA 50827220 979099","",-29.69,,"50067.20",,0.00
"20230203000000[-6:CST]*3737.46*501**DONNELLEY FINANC DIRECT DEP 551064827457 L5Z",02/03/2023,"DONNELLEY FINANC DIRECT DEP 551064827457 L5Z","",,3737.46,"50096.89",,0.00
"20230202000000[-6:CST]*-30.00*0**XX3498 POS PURCHASE AT SQ *THE ANGRY IR Ames IA 07917889 330724",02/02/2023,"XX3498 POS PURCHASE AT SQ *THE ANGRY IR Ames IA 07917889 330724","",-30.00,,"46359.43",,0.00
"20230202000000[-6:CST]*-140.00*0**Miscellaneous Debit",02/02/2023,"Miscellaneous Debit","",-140.00,,"46389.43",,0.00
"20230202000000[-6:CST]*300.00*501**Deposit",02/02/2023,"Deposit","",,300.00,"46529.43",,0.00
"20230201000000[-6:CST]*-82.60*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 029242",02/01/2023,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 029242","",-82.60,,"46229.43",,0.00
"20230201000000[-6:CST]*-44.21*0**XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 922279",02/01/2023,"XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 922279","",-44.21,,"46312.03",,0.00
"20230201000000[-6:CST]*-12.18*0**XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545316 848443",02/01/2023,"XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545316 848443","",-12.18,,"46356.24",,0.00
"20230131000000[-6:CST]*-45.00*0**VENMO PAYMENT 1024995281172",01/31/2023,"VENMO PAYMENT 1024995281172","",-45.00,,"46368.42",,0.00
"20230131000000[-6:CST]*-46.18*0**XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 57365773 420475",01/31/2023,"XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 57365773 420475","",-46.18,,"46413.42",,0.00
"20230131000000[-6:CST]*-18.00*0**XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 615341",01/31/2023,"XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 615341","",-18.00,,"46459.60",,0.00
"20230130000000[-6:CST]*-49.01*0**XX3498 POS PURCHASE AT LA CASA MAYA AMES IA 02604483 118549",01/30/2023,"XX3498 POS PURCHASE AT LA CASA MAYA AMES IA 02604483 118549","",-49.01,,"46477.60",,0.00
"20230127000000[-6:CST]*-79.11*0**CITY OF AMES UT BILL 002629810006826",01/27/2023,"CITY OF AMES UT BILL 002629810006826","",-79.11,,"46526.61",,0.00
"20230126000000[-6:CST]*-17.90*0**XX3498 POS PURCHASE AT TAZA MEDITERRANE AMES IA 69000396 598038",01/26/2023,"XX3498 POS PURCHASE AT TAZA MEDITERRANE AMES IA 69000396 598038","",-17.90,,"46605.72",,0.00
"20230125000000[-6:CST]*-39.10*0**XX3498 POS WITHDRAWAL. WM SUPERCENTER # AMES IA 600001 006834",01/25/2023,"XX3498 POS WITHDRAWAL. WM SUPERCENTER # AMES IA 600001 006834","",-39.10,,"46623.62",,0.00
"20230125000000[-6:CST]*-28.89*0**XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 104547",01/25/2023,"XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 104547","",-28.89,,"46662.72",,0.00
"20230125000000[-6:CST]*-21.62*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 532402",01/25/2023,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 532402","",-21.62,,"46691.61",,0.00
"20230124000000[-6:CST]*-113.61*0**CITY OF AMES UT BILL 002819790003022",01/24/2023,"CITY OF AMES UT BILL 002819790003022","",-113.61,,"46713.23",,0.00
"20230124000000[-6:CST]*-27.90*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 143957",01/24/2023,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 143957","",-27.90,,"46826.84",,0.00
"20230124000000[-6:CST]*-25.26*0**XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490046 302436520608",01/24/2023,"XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490046 302436520608","",-25.26,,"46854.74",,0.00
"20230124000000[-6:CST]*-7.46*0**XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545316 754422",01/24/2023,"XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545316 754422","",-7.46,,"46880.00",,0.00
"20230124000000[-6:CST]*-200.00*0**00191621 TRANSFER TO 780750 ON 1/24/23 A T 14:00",01/24/2023,"00191621 TRANSFER TO 780750 ON 1/24/23 A T 14:00","",-200.00,,"46887.46",,0.00
"20230123000000[-6:CST]*-588.14*0**FARMERS INS EFT PYMT mXXXXX5868",01/23/2023,"FARMERS INS EFT PYMT mXXXXX5868","",-588.14,,"47087.46",,0.00
"20230123000000[-6:CST]*-55.00*0**VENMO PAYMENT 1024847821096",01/23/2023,"VENMO PAYMENT 1024847821096","",-55.00,,"47675.60",,0.00
"20230123000000[-6:CST]*-22.97*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 326671",01/23/2023,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 326671","",-22.97,,"47730.60",,0.00
"20230120000000[-6:CST]*-75.00*0**VENMO PAYMENT 1024791501673",01/20/2023,"VENMO PAYMENT 1024791501673","",-75.00,,"47753.57",,0.00
"20230120000000[-6:CST]*-31.10*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 798850",01/20/2023,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 798850","",-31.10,,"47828.57",,0.00
"20230120000000[-6:CST]*3737.44*501**DONNELLEY FINANC DIRECT DEP 739063518338 L5Z",01/20/2023,"DONNELLEY FINANC DIRECT DEP 739063518338 L5Z","",,3737.44,"47859.67",,0.00
"20230119000000[-6:CST]*-218.96*0**Alliant - IPL PAYMENT 0061467186",01/19/2023,"Alliant - IPL PAYMENT 0061467186","",-218.96,,"44122.23",,0.00
"20230119000000[-6:CST]*-81.26*0**XX3498 POS WITHDRAWAL. FAREWAY STORES # AMES IA 92405501 097100",01/19/2023,"XX3498 POS WITHDRAWAL. FAREWAY STORES # AMES IA 92405501 097100","",-81.26,,"44341.19",,0.00
"20230119000000[-6:CST]*-25.70*0**XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 47559903 616301",01/19/2023,"XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 47559903 616301","",-25.70,,"44422.45",,0.00
"20230117000000[-6:CST]*-280.67*0**VERIZON WIRELESS PAYMENTS 05885909720000 1",01/17/2023,"VERIZON WIRELESS PAYMENTS 05885909720000 1","",-280.67,,"44448.15",,0.00
"20230117000000[-6:CST]*-24.60*0**CLUB FEES PLANET FIT 515-620-8880",01/17/2023,"CLUB FEES PLANET FIT 515-620-8880","",-24.60,,"44728.82",,0.00
"20230117000000[-6:CST]*-100.00*0**XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 465176",01/17/2023,"XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 465176","",-100.00,,"44753.42",,0.00
"20230117000000[-6:CST]*-84.94*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 035454",01/17/2023,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 035454","",-84.94,,"44853.42",,0.00
"20230117000000[-6:CST]*-59.18*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 021572",01/17/2023,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 021572","",-59.18,,"44938.36",,0.00
